Time id,Material id,Forecasted
37.0,1311.0,2.7470321655273438
38.0,1311.0,3.2042839527130127
39.0,1311.0,3.4806182384490967
40.0,1311.0,3.6460564136505127
41.0,1311.0,3.744485378265381
42.0,1311.0,3.8028175830841064
43.0,1311.0,3.837303400039673
44.0,1311.0,3.857661485671997
37.0,1421.0,55.97120666503906
38.0,1421.0,51.04732131958008
39.0,1421.0,47.98505401611328
40.0,1421.0,46.06554412841797
41.0,1421.0,44.856815338134766
42.0,1421.0,44.09355545043945
43.0,1421.0,43.61076736450195
44.0,1421.0,43.30506896972656
37.0,1610.0,1.3656702041625977
38.0,1610.0,1.694237232208252
39.0,1610.0,1.9892916679382324
40.0,1610.0,2.2540183067321777
41.0,1610.0,2.4912796020507812
42.0,1610.0,2.7036712169647217
43.0,1610.0,2.8935630321502686
44.0,1610.0,3.0631237030029297
37.0,1755.0,1.7908118963241577
38.0,1755.0,2.461941957473755
39.0,1755.0,3.0312447547912598
40.0,1755.0,3.5138440132141113
41.0,1755.0,3.9226250648498535
42.0,1755.0,4.268599510192871
43.0,1755.0,4.561185359954834
44.0,1755.0,4.808435440063477
37.0,4756.0,1.073866844177246
38.0,4756.0,1.1450716257095337
39.0,4756.0,1.213708758354187
40.0,4756.0,1.2798666954040527
41.0,4756.0,1.3436285257339478
42.0,4756.0,1.4050734043121338
43.0,4756.0,1.4642761945724487
44.0,4756.0,1.521308422088623
37.0,6345.0,5.980485439300537
38.0,6345.0,5.961967945098877
39.0,6345.0,5.944385051727295
40.0,6345.0,5.927680015563965
41.0,6345.0,5.911801338195801
42.0,6345.0,5.896699905395508
43.0,6345.0,5.8823323249816895
44.0,6345.0,5.868656158447266
37.0,6464.0,12.109780311584473
38.0,6464.0,11.3861722946167
39.0,6464.0,10.791707992553711
40.0,6464.0,10.299359321594238
41.0,6464.0,9.889005661010742
42.0,6464.0,9.545286178588867
43.0,6464.0,9.25623893737793
44.0,6464.0,9.012388229370117
37.0,7263.0,107.89486694335938
38.0,7263.0,107.8349609375
39.0,7263.0,107.80084991455078
40.0,7263.0,107.78141021728516
41.0,7263.0,107.77033996582031
42.0,7263.0,107.7640151977539
43.0,7263.0,107.76042175292969
44.0,7263.0,107.75837707519531
37.0,8710.0,98.464599609375
38.0,8710.0,97.67578887939453
39.0,8710.0,97.27014923095703
40.0,8710.0,97.06144714355469
41.0,8710.0,96.95407104492188
42.0,8710.0,96.89878845214844
43.0,8710.0,96.87033081054688
44.0,8710.0,96.85569763183594
37.0,12481.0,3.2919631004333496
38.0,12481.0,3.5635344982147217
39.0,12481.0,3.81591534614563
40.0,12481.0,4.050248622894287
41.0,12481.0,4.267622947692871
42.0,12481.0,4.469078540802002
43.0,12481.0,4.655611038208008
44.0,12481.0,4.828171253204346
37.0,25056.0,160.27197265625
38.0,25056.0,160.533447265625
39.0,25056.0,160.7847137451172
40.0,25056.0,161.02615356445312
41.0,25056.0,161.25804138183594
42.0,25056.0,161.48072814941406
43.0,25056.0,161.6945037841797
44.0,25056.0,161.89968872070312
37.0,30765.0,108.06719970703125
38.0,30765.0,108.10783386230469
39.0,30765.0,108.13241577148438
40.0,30765.0,108.14727783203125
41.0,30765.0,108.15625762939453
42.0,30765.0,108.16170501708984
43.0,30765.0,108.16497802734375
44.0,30765.0,108.16696166992188
37.0,32814.0,12.065080642700195
38.0,32814.0,12.129547119140625
39.0,32814.0,12.193378448486328
40.0,32814.0,12.256555557250977
41.0,32814.0,12.319060325622559
42.0,32814.0,12.380871772766113
43.0,32814.0,12.441975593566895
44.0,32814.0,12.502351760864258
