Time id,Material id,Forecasted
37.0,1311.0,3.0343823432922363
38.0,1311.0,3.491218090057373
39.0,1311.0,3.6923482418060303
40.0,1311.0,3.780708074569702
41.0,1311.0,3.81948184967041
42.0,1311.0,3.836488723754883
43.0,1311.0,3.8439455032348633
44.0,1311.0,3.8472161293029785
37.0,1421.0,52.654605865478516
38.0,1421.0,46.81219482421875
39.0,1421.0,43.809043884277344
40.0,1421.0,42.2675895690918
41.0,1421.0,41.47709274291992
42.0,1421.0,41.071903228759766
43.0,1421.0,40.8642692565918
44.0,1421.0,40.75788497924805
37.0,1610.0,2.8977909088134766
38.0,1610.0,3.5785255432128906
39.0,1610.0,3.8248960971832275
40.0,1610.0,3.9143006801605225
41.0,1610.0,3.946772575378418
42.0,1610.0,3.9585702419281006
43.0,1610.0,3.962857723236084
44.0,1610.0,3.9644153118133545
37.0,1755.0,2.59279465675354
38.0,1755.0,3.6048905849456787
39.0,1755.0,4.252838134765625
40.0,1755.0,4.669508457183838
41.0,1755.0,4.938185214996338
42.0,1755.0,5.1117262840271
43.0,1755.0,5.223939418792725
44.0,1755.0,5.296546936035156
37.0,4756.0,1.3760055303573608
38.0,4756.0,1.6345782279968262
39.0,4756.0,1.8134558200836182
40.0,4756.0,1.9376771450042725
41.0,4756.0,2.024160861968994
42.0,4756.0,2.0844736099243164
43.0,4756.0,2.126584053039551
44.0,4756.0,2.156008243560791
37.0,6345.0,5.200830459594727
38.0,6345.0,4.664000511169434
39.0,6345.0,4.305107116699219
40.0,6345.0,4.066196441650391
41.0,6345.0,3.9076879024505615
42.0,6345.0,3.8027796745300293
43.0,6345.0,3.7334659099578857
44.0,6345.0,3.6877238750457764
37.0,6464.0,10.841817855834961
38.0,6464.0,9.432072639465332
39.0,6464.0,8.514266967773438
40.0,6464.0,7.918511390686035
41.0,6464.0,7.532683372497559
42.0,6464.0,7.283216953277588
43.0,6464.0,7.122101306915283
44.0,6464.0,7.01812219619751
37.0,7263.0,106.84701538085938
38.0,7263.0,106.31332397460938
39.0,7263.0,106.0664291381836
40.0,7263.0,105.95223236083984
41.0,7263.0,105.89942169189453
42.0,7263.0,105.87500762939453
43.0,7263.0,105.86373138427734
44.0,7263.0,105.8584976196289
37.0,8710.0,96.7298355102539
38.0,8710.0,95.17684173583984
39.0,8710.0,94.44000244140625
40.0,8710.0,94.09056091308594
41.0,8710.0,93.92486572265625
42.0,8710.0,93.84632110595703
43.0,8710.0,93.80908203125
44.0,8710.0,93.79141235351562
37.0,12481.0,4.335211753845215
38.0,12481.0,5.066361427307129
39.0,12481.0,5.4688720703125
40.0,12481.0,5.691047668457031
41.0,12481.0,5.813850402832031
42.0,12481.0,5.881779193878174
43.0,12481.0,5.919366359710693
44.0,12481.0,5.940171241760254
37.0,25056.0,159.57040405273438
38.0,25056.0,159.26736450195312
39.0,25056.0,159.05368041992188
40.0,25056.0,158.90301513671875
41.0,25056.0,158.7968292236328
42.0,25056.0,158.72198486328125
43.0,25056.0,158.6692352294922
44.0,25056.0,158.632080078125
37.0,30765.0,107.15394592285156
38.0,30765.0,106.73125457763672
39.0,30765.0,106.52020263671875
40.0,30765.0,106.41482543945312
41.0,30765.0,106.36222839355469
42.0,30765.0,106.33599090576172
43.0,30765.0,106.3228759765625
44.0,30765.0,106.31632995605469
37.0,32814.0,10.307276725769043
38.0,32814.0,9.222126007080078
39.0,32814.0,8.530244827270508
40.0,32814.0,8.090808868408203
41.0,32814.0,7.812440872192383
42.0,32814.0,7.636406421661377
43.0,32814.0,7.525211334228516
44.0,32814.0,7.455025672912598
