Material_Id,Time id,Forecasted Quantity,Model,Data
24712.0,38.0,4.2999949636586186,ARIMA,ay
24712.0,39.0,4.2999949636586186,ARIMA,ay
24712.0,40.0,4.2999949636586186,ARIMA,ay
24712.0,41.0,4.2999949636586186,ARIMA,ay
24712.0,42.0,4.2999949636586186,ARIMA,ay
24712.0,43.0,4.2999949636586186,ARIMA,ay
24712.0,44.0,4.2999949636586186,ARIMA,ay
33547.0,37.0,11.799994893117292,ARIMA,ay
33547.0,38.0,11.799994893117292,ARIMA,ay
33547.0,39.0,11.799994893117292,ARIMA,ay
33547.0,40.0,11.799994893117292,ARIMA,ay
33547.0,41.0,11.799994893117292,ARIMA,ay
33547.0,42.0,11.799994893117292,ARIMA,ay
33547.0,43.0,11.799994893117292,ARIMA,ay
33547.0,44.0,11.799994893117292,ARIMA,ay
