Time id,Material id,Forecasted
37.0,1311.0,2.8315515518188477
38.0,1311.0,3.2122902870178223
39.0,1311.0,3.3901143074035645
40.0,1311.0,3.4738690853118896
41.0,1311.0,3.513467311859131
42.0,1311.0,3.532221555709839
43.0,1311.0,3.541111469268799
44.0,1311.0,3.545325994491577
37.0,1421.0,51.460899353027344
38.0,1421.0,45.804805755615234
39.0,1421.0,43.28815460205078
40.0,1421.0,42.17589569091797
41.0,1421.0,41.685848236083984
42.0,1421.0,41.47024917602539
43.0,1421.0,41.37544250488281
44.0,1421.0,41.33377456665039
37.0,1610.0,2.889315605163574
38.0,1610.0,3.6170783042907715
39.0,1610.0,3.9048290252685547
40.0,1610.0,4.019649982452393
41.0,1610.0,4.065627098083496
42.0,1610.0,4.0840630531311035
43.0,1610.0,4.091458797454834
44.0,1610.0,4.094427585601807
37.0,1755.0,3.741234064102173
38.0,1755.0,4.912691116333008
39.0,1755.0,5.424937725067139
40.0,1755.0,5.651021957397461
41.0,1755.0,5.751201629638672
42.0,1755.0,5.795670032501221
43.0,1755.0,5.815422058105469
44.0,1755.0,5.824199676513672
37.0,4756.0,1.790170431137085
38.0,4756.0,2.1153979301452637
39.0,4756.0,2.253024101257324
40.0,4756.0,2.3119001388549805
41.0,4756.0,2.337200880050659
42.0,4756.0,2.3480944633483887
43.0,4756.0,2.352788209915161
44.0,4756.0,2.354811429977417
37.0,6345.0,4.596183776855469
38.0,6345.0,4.02785587310791
39.0,6345.0,3.8024063110351562
40.0,6345.0,3.7138400077819824
41.0,6345.0,3.679189682006836
42.0,6345.0,3.6656556129455566
43.0,6345.0,3.660372734069824
44.0,6345.0,3.658310890197754
37.0,6464.0,9.407984733581543
38.0,6464.0,7.915478229522705
39.0,6464.0,7.311211109161377
40.0,6464.0,7.069540023803711
41.0,6464.0,6.973387718200684
42.0,6464.0,6.935213088989258
43.0,6464.0,6.920069694519043
44.0,6464.0,6.914063453674316
37.0,7263.0,104.62409210205078
38.0,7263.0,103.2398452758789
39.0,7263.0,102.67385864257812
40.0,7263.0,102.44271087646484
41.0,7263.0,102.34835052490234
42.0,7263.0,102.30985260009766
43.0,7263.0,102.29415130615234
44.0,7263.0,102.28773498535156
37.0,8710.0,97.2530288696289
38.0,8710.0,96.14542388916016
39.0,8710.0,95.69953155517578
40.0,8710.0,95.52015686035156
41.0,8710.0,95.44800567626953
42.0,8710.0,95.41899108886719
43.0,8710.0,95.40731811523438
44.0,8710.0,95.40261840820312
37.0,12481.0,4.871236801147461
38.0,12481.0,5.623475551605225
39.0,12481.0,5.930688858032227
40.0,12481.0,6.05690336227417
41.0,12481.0,6.108878135681152
42.0,12481.0,6.130303382873535
43.0,12481.0,6.139138698577881
44.0,12481.0,6.142783164978027
37.0,25056.0,160.23812866210938
38.0,25056.0,160.35586547851562
39.0,25056.0,160.41409301757812
40.0,25056.0,160.44290161132812
41.0,25056.0,160.4571533203125
42.0,25056.0,160.46421813964844
43.0,25056.0,160.4676971435547
44.0,25056.0,160.4694366455078
37.0,30765.0,107.92875671386719
38.0,30765.0,107.90119171142578
39.0,30765.0,107.8905258178711
40.0,30765.0,107.88641357421875
41.0,30765.0,107.88481140136719
42.0,30765.0,107.88419342041016
43.0,30765.0,107.88394927978516
44.0,30765.0,107.88387298583984
37.0,32814.0,9.716581344604492
38.0,32814.0,8.660991668701172
39.0,32814.0,8.179802894592285
40.0,32814.0,7.961963653564453
41.0,32814.0,7.863667011260986
42.0,32814.0,7.819377899169922
43.0,32814.0,7.799434185028076
44.0,32814.0,7.790459632873535
