Time id,Material,Material_Id,Quantity,Total_Value
31,S02-060352,34400.0,146.0,1941417.48
32,S02-060352,34400.0,140.0,1861633.2
33,S02-060352,34400.0,176.0,2339914.78
34,S02-060352,34400.0,156.0,2073422.49999999
35,S02-060352,34400.0,204.0,2696789.58
36,S02-060352,34400.0,148.0,1927542.2
37,S02-060352,34400.0,102.0,1326397.92
38,S02-060352,34400.0,184.0,2388849.74
1,S01-070021,34392.0,21.0,840000.44
2,S01-070021,34392.0,24.0,1037619.21
3,S01-070021,34392.0,35.0,1601619.05
4,S01-070021,34392.0,16.0,736000.0
6,S01-070021,34392.0,21.0,966000.0
7,S01-070021,34392.0,17.0,779090.919999999
8,S01-070021,34392.0,19.0,869109.919999999
9,S01-070021,34392.0,23.0,1057799.16
10,S01-070021,34392.0,25.0,1150000.0
11,S01-070021,34392.0,31.0,1426000.0
12,S01-070021,34392.0,27.0,1236000.15
13,S01-070021,34392.0,23.0,1058000.0
14,S01-070021,34392.0,25.0,1148500.0
15,S01-070021,34392.0,24.0,1104000.0
16,S01-070021,34392.0,16.0,734542.96
17,S01-070021,34392.0,18.0,825506.87
18,S01-070021,34392.0,33.0,1516882.35
19,S01-070021,34392.0,27.0,1237911.45999999
20,S01-070021,34392.0,41.0,1880853.56999999
21,S01-070021,34392.0,26.0,1192262.19
22,S01-070021,34392.0,23.0,1063499.21
23,S01-070021,34392.0,34.0,1577953.01999999
24,S01-070021,34392.0,31.0,1454332.5
25,S01-070021,34392.0,30.0,1422967.23
26,S01-070021,34392.0,42.0,1996501.01
27,S01-070021,34392.0,44.0,2071951.58
28,S01-070021,34392.0,23.0,1090543.89
29,S01-070021,34392.0,39.0,1853155.62999999
30,S01-070021,34392.0,59.0,2812752.91
31,S01-070021,34392.0,42.0,2022491.63999999
32,S01-070021,34392.0,57.0,2732311.25
33,S01-070021,34392.0,35.0,1671786.72999999
34,S01-070021,34392.0,37.0,1766570.15999999
35,S01-070021,34392.0,34.0,1626192.67
36,S01-070021,34392.0,49.0,2342545.21
37,S01-070021,34392.0,43.0,2051965.92999999
38,S01-070021,34392.0,58.0,2769150.14
1,C87-200349,34313.0,15.0,2104161.65
2,C87-200349,34313.0,17.0,2446270.24
3,C87-200349,34313.0,21.0,3057410.0
4,C87-200349,34313.0,10.0,1473648.27
6,C87-200349,34313.0,23.0,3389433.70999999
7,C87-200349,34313.0,55.0,8360181.17999999
8,C87-200349,34313.0,34.0,5211729.35
9,C87-200349,34313.0,22.0,3395496.05
10,C87-200349,34313.0,9.0,1394101.55
11,C87-200349,34313.0,12.0,1885232.97
12,C87-200349,34313.0,13.0,2052275.04
13,C87-200349,34313.0,14.0,2281983.13
14,C87-200349,34313.0,19.0,3046913.33
15,C87-200349,34313.0,8.0,1310384.85
